gene_id	Gene names	type
ENSMUSG00000001656	Hoxc11 Hox-3.7 Hoxc-11	nucleus
ENSMUSG00000001657	Hoxc8 Hox-3.1 Hoxc-8	nucleus
ENSMUSG00000001661	Hoxc6 Hox-3.3 Hoxc-6	nucleus
ENSMUSG00000001663	Gstt1	nucleus
ENSMUSG00000001665	Gstt3	cytoplasm
ENSMUSG00000001666	Ddt	cytoplasm
ENSMUSG00000001707	Eef1e1	nucleus
ENSMUSG00000001729	Akt1 Akt Rac	nucleus
ENSMUSG00000001739	Cldn15	integral membrane
ENSMUSG00000001761	Smo Smoh	integral membrane
ENSMUSG00000001763	Tspan33 Pen	cytoplasm
ENSMUSG00000001767	Crnkl1	nucleus
ENSMUSG00000001768	Rin2	cytoplasm
ENSMUSG00000001773	Folh1 Mopsm Naalad1	integral membrane
ENSMUSG00000001783	Rtcb D10Wsu52e	nucleus
ENSMUSG00000001785	Pwp1	nucleus
ENSMUSG00000001786	Fbxo7	nucleus
ENSMUSG00000001804	Dsg4	integral membrane
ENSMUSG00000001815	Evx2 Evx-2	nucleus
ENSMUSG00000001819	Hoxd13 Hox-4.8	nucleus
ENSMUSG00000001823	Hoxd12 Hox-4.7 Hoxd-12	nucleus
ENSMUSG00000001827	Folr1 Fbp1 Folbp1	nucleus
ENSMUSG00000001829	Clpb Skd3	cytoplasm
ENSMUSG00000001844	Zdhhc4	integral membrane
ENSMUSG00000001847	Rac1	nucleus
ENSMUSG00000001864	Aif1l Iba2	cytoplasm
ENSMUSG00000001870	Ltbp1	cytoplasm
ENSMUSG00000001891	Ugp2	cytoplasm
ENSMUSG00000001910	Nacc1 Btbd14b Nac1	nucleus
ENSMUSG00000001911	Nfix	nucleus
ENSMUSG00000001924	Uba1 Sbx Ube1 Ube1ax Ube1x	nucleus
ENSMUSG00000001946	Esam Esam1	integral membrane
ENSMUSG00000001948	Spa17 Sp17	cytoplasm
ENSMUSG00000001962	Fam50a D0HXS9928E Xap5	nucleus
ENSMUSG00000001964	Emd Sta	integral membrane
ENSMUSG00000001988	Npas1	nucleus
ENSMUSG00000001995	Sipa1l2 Kiaa0545	cytoplasm
ENSMUSG00000002007	Srpk3 Mssk1 Stk23	nucleus
ENSMUSG00000002012	Pnck	nucleus
ENSMUSG00000002014	Ssr4	integral membrane
ENSMUSG00000002028	Kmt2a All1 Hrx Mll Mll1	nucleus
ENSMUSG00000002031	Ift46	cytoplasm
ENSMUSG00000002032	Tmem25	integral membrane
ENSMUSG00000002033	Cd3g	integral membrane
ENSMUSG00000002055	Spag5	cytoplasm
ENSMUSG00000002057	Foxn1 Fkh19 Hfh11 Whn	nucleus
ENSMUSG00000002058	Unc119 Unc119h	cytoplasm
ENSMUSG00000002068	Ccne1 Ccne	nucleus
ENSMUSG00000002076	Hsf2bp Meilb2	cytoplasm
ENSMUSG00000002102	Psmc3 Tbp1	nucleus
ENSMUSG00000002103	Acp2	integral membrane
ENSMUSG00000002105	Slc39a13 Zip13	integral membrane
ENSMUSG00000002107	Celf2 Cugbp2 Napor	nucleus
ENSMUSG00000002108	Nr1h3 Lxra	nucleus
ENSMUSG00000002109	Ddb2	nucleus
ENSMUSG00000002111	Spi1 Sfpi-1 Sfpi1	nucleus
ENSMUSG00000002129	Sf3a1	nucleus
ENSMUSG00000002147	Stat6	nucleus
ENSMUSG00000002190	Clgn Meg1	integral membrane
ENSMUSG00000002205	Vrk3	nucleus
ENSMUSG00000002221	Paxip1 Ptip	nucleus
ENSMUSG00000002222	Rmnd5a	nucleus
ENSMUSG00000002227	Mov10 Gb110	nucleus
ENSMUSG00000002233	Rhoc Arhc	nucleus
ENSMUSG00000002250	Ppard Nr1c2 Pparb	nucleus
ENSMUSG00000002257	Def6 Ibp Slat	nucleus
ENSMUSG00000002265	Peg3 Kiaa0287 Pw1	nucleus
ENSMUSG00000002279	Lmf1 Tmem112	integral membrane
ENSMUSG00000002297	Dbf4 Dbf4a	nucleus
ENSMUSG00000002319	Ipo4 Imp4a Ranbp4	nucleus
ENSMUSG00000002320	Tm9sf1	integral membrane
ENSMUSG00000002324	Rec8 Mei8 Rec8L1	nucleus
ENSMUSG00000002325	Irf9 Isgf3g	nucleus
ENSMUSG00000002342	Tmem161a	integral membrane
ENSMUSG00000002346	Slc25a42	integral membrane
ENSMUSG00000002365	Snx9	cytoplasm
ENSMUSG00000002372	Ranbp3	nucleus
ENSMUSG00000002393	Nr2f6 Ear-2 Ear2 Erbal2	nucleus
ENSMUSG00000002395	Use1 Use1l	integral membrane
ENSMUSG00000002409	Dyrk1b	nucleus
ENSMUSG00000002413	Braf B-raf	nucleus
ENSMUSG00000002428	Hltf Smarca3 Snf2l3 Zbu1	cytoplasm
ENSMUSG00000002455	Prpf6	nucleus
ENSMUSG00000002458	Rgs19	cytoplasm
ENSMUSG00000002459	Rgs20 Rgsz1	nucleus
ENSMUSG00000002475	Abhd3 Labh3	integral membrane
ENSMUSG00000002477	Snrpd1	nucleus
ENSMUSG00000002486	Tchp	cytoplasm
ENSMUSG00000002546	Golga2	cytoplasm
ENSMUSG00000002565	Scin	cytoplasm
ENSMUSG00000002603	Tgfb1	nucleus
ENSMUSG00000002633	Shh Hhg1	nucleus
ENSMUSG00000002635	Pdcd2l	cytoplasm
ENSMUSG00000002658	Gtf2f1	nucleus
ENSMUSG00000002679	Med6	nucleus
ENSMUSG00000002688	Prkd1 Pkcm Pkd Prkcm	nucleus
ENSMUSG00000002728	Naa20 Nat5	nucleus
ENSMUSG00000002731	Prkra Rax	cytoplasm
ENSMUSG00000002741	Ykt6	cytoplasm
ENSMUSG00000002748	Baz1b Wbscr9 Wstf	nucleus
ENSMUSG00000002763	Pex6	cytoplasm
ENSMUSG00000002768	Mea1 Mea	cytoplasm
ENSMUSG00000002778	Kdelr1	integral membrane
ENSMUSG00000002804	Nudt14	cytoplasm
ENSMUSG00000002812	Flii Fli1 Fliih	nucleus
ENSMUSG00000002814	Top3a Top3	nucleus
ENSMUSG00000002825	Qtrt1 Tgt Tgut	nucleus
ENSMUSG00000002833	Hdgfl2 Hdgfrp2	nucleus
ENSMUSG00000002835	Chaf1a Caip150	nucleus
ENSMUSG00000002845	Tmem39a	integral membrane
ENSMUSG00000002846	Timmdc1	integral membrane
ENSMUSG00000002870	Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2	nucleus
ENSMUSG00000002871	Tpra1 Gpr175 Tpra40	integral membrane
ENSMUSG00000002881	Nab1	nucleus
ENSMUSG00000002897	Il17ra Il17r	integral membrane
ENSMUSG00000002900	Lamb1 Lamb-1 Lamb1-1	nucleus
ENSMUSG00000002910	Arrdc2	cytoplasm
ENSMUSG00000002944	Cd36	integral membrane
ENSMUSG00000002948	Map2k7 Mkk7	nucleus
ENSMUSG00000002981	Clptm1 N14	integral membrane
ENSMUSG00000002983	Relb	nucleus
ENSMUSG00000002984	Tomm40 Mom35 Tom40	integral membrane
ENSMUSG00000002985	Apoe	cytoplasm
ENSMUSG00000002997	Prkar2b	cytoplasm
ENSMUSG00000003031	Cdkn1b	nucleus
ENSMUSG00000003032	Klf4 Ezf Gklf Zie	nucleus
ENSMUSG00000003038	Hmgn2 Hmg-17 Hmg17	nucleus
ENSMUSG00000003051	Elf3 Ert Esx Jen	nucleus
ENSMUSG00000003053	Cyp2c29	cytoplasm
ENSMUSG00000003062	Stard3nl Mentho	integral membrane
ENSMUSG00000003068	Stk11 Lkb1	nucleus
ENSMUSG00000003099	Ppp5c	nucleus
ENSMUSG00000003119	Cdk12 Crk7 Crkrs Kiaa0904	nucleus
ENSMUSG00000003123	Lipe	nucleus
ENSMUSG00000003131	Pafah1b2 Pafahb	cytoplasm
ENSMUSG00000003135	Cnot11 D1Bwg0212e	nucleus
ENSMUSG00000003153	Slc2a3 Glut3	integral membrane
ENSMUSG00000003154	Foxj2 Fhx	nucleus
ENSMUSG00000003184	Irf3	nucleus
ENSMUSG00000003200	Sh3gl1 Sh3d2b	cytoplasm
ENSMUSG00000003226	Ranbp2	cytoplasm
ENSMUSG00000003227	Edar Dl	integral membrane
ENSMUSG00000003233	Dvl3	cytoplasm
ENSMUSG00000003235	Eif2b5	nucleus
ENSMUSG00000003269	Cyth2 Pscd2 Sec7b	cytoplasm
ENSMUSG00000003271	Sult2b1 Sult2b	nucleus
ENSMUSG00000003283	Hck	nucleus
ENSMUSG00000003308	Keap1 Inrf2 Kiaa0132	nucleus
ENSMUSG00000003316	Glg1 Esl1 Mg160 Selel	integral membrane
ENSMUSG00000003341	Atp8b3	integral membrane
ENSMUSG00000003345	Csnk1g2 Ck1g2	nucleus
ENSMUSG00000003352	Cacnb3 Cacnlb3	cytoplasm
ENSMUSG00000003355	Fkbp11	integral membrane
ENSMUSG00000003363	Pld3 Sam9	integral membrane
ENSMUSG00000003379	Cd79a Iga Mb-1	integral membrane
ENSMUSG00000003380	Rabac1 Pra Pra1 Praf1	integral membrane
ENSMUSG00000003382	Etv3 Mets Pe1	nucleus
ENSMUSG00000003411	Rab3b	cytoplasm
ENSMUSG00000003418	St8sia6 Siat8f	integral membrane
ENSMUSG00000003420	Fcgrt Fcrn	integral membrane
ENSMUSG00000003421	Nosip	nucleus
ENSMUSG00000003423	Pih1d1 Nop17	nucleus
ENSMUSG00000003435	Supt5h Supt5	nucleus
ENSMUSG00000003436	Dll3	integral membrane
ENSMUSG00000003437	Paf1	cytoplasm
ENSMUSG00000003438	Timm50 Tim50	integral membrane
ENSMUSG00000003458	Ncstn	integral membrane
ENSMUSG00000003464	Pex19 Pxf	integral membrane
ENSMUSG00000003469	Phyhip	cytoplasm
ENSMUSG00000003476	Crhr2 Crf2r	integral membrane
ENSMUSG00000003484	Cyp4f3 Cyp4f18	integral membrane
ENSMUSG00000003500	Impdh1	nucleus
ENSMUSG00000003518	Dusp3	nucleus
ENSMUSG00000003527	Ess2 Dgcr14 Dgsi Es2 Es2el	nucleus
ENSMUSG00000003528	Slc25a1	integral membrane
ENSMUSG00000003534	Ddr1 Cak Eddr1 Mpk6	cytoplasm
ENSMUSG00000003545	Fosb	nucleus
ENSMUSG00000003546	Klc4 Knsl8	cytoplasm
ENSMUSG00000003549	Ercc1 Ercc-1	nucleus
ENSMUSG00000003573	Homer3	cytoplasm
ENSMUSG00000003575	Crtc1 Kiaa0616 Mect1 Torc1	nucleus
ENSMUSG00000003581	Rnf215	integral membrane
ENSMUSG00000003644	Rps6ka1 Mapkapk1a Rsk1	nucleus
ENSMUSG00000003657	Calb2	nucleus
ENSMUSG00000003660	Snrnp200 Kiaa0788	nucleus
ENSMUSG00000003662	Ciao1 Wdr39	cytoplasm
ENSMUSG00000003665	Has1 Has	cytoplasm
ENSMUSG00000003680	Taf6l Paf65a	nucleus
ENSMUSG00000003731	Kpna6 Kpna5	nucleus
ENSMUSG00000003746	Man1a1 Man1a	integral membrane
ENSMUSG00000003752	Itpkc	nucleus
ENSMUSG00000003779	Kif20a Rab6kifl	nucleus
ENSMUSG00000003808	Farsa Farsla	cytoplasm
ENSMUSG00000003813	Rad23a Mhr23a	nucleus
ENSMUSG00000003814	Calr	nucleus
ENSMUSG00000003824	Syce2 Cesc1	nucleus
ENSMUSG00000003847	Nfat5	nucleus
ENSMUSG00000003848	Nob1	nucleus
ENSMUSG00000003849	Nqo1 Dia4 Nmo1 Nmor1	cytoplasm
ENSMUSG00000003863	Ppfia3	cytoplasm
ENSMUSG00000003865	Gys1 Gys Gys3	cytoplasm
ENSMUSG00000003868	Ruvbl2	nucleus
ENSMUSG00000003873	Bax	integral membrane
ENSMUSG00000003882	Il7r	integral membrane
ENSMUSG00000003923	Tfam Hmgts	nucleus
ENSMUSG00000003948	Mmd Paqr11	integral membrane
ENSMUSG00000003949	Hlf	nucleus
ENSMUSG00000003955	Fam162a E2ig5	integral membrane
ENSMUSG00000003992	Ssbp2 Ssdp2	nucleus
ENSMUSG00000004018	Fancl Phf9 Pog	nucleus
ENSMUSG00000004032	Gstm5 Fsc2 Gstm3	cytoplasm
ENSMUSG00000004035	Gstm7	cytoplasm
ENSMUSG00000004038	Gstm3	cytoplasm
ENSMUSG00000004040	Stat3 Aprf	nucleus
ENSMUSG00000004043	Stat5a Mgf Mpf	nucleus
ENSMUSG00000004044	Cavin1 Ptrf	nucleus
ENSMUSG00000004054	Map3k11 Mlk3	cytoplasm
ENSMUSG00000004056	Akt2	nucleus
ENSMUSG00000004069	Dnaja3 Tid1	nucleus
ENSMUSG00000004071	Cdip1	nucleus
ENSMUSG00000004085	Map3k20 Mltk Zak	nucleus
ENSMUSG00000004096	Cwc15 Ed1	nucleus
ENSMUSG00000004099	Dnmt1 Dnmt Met1 Uim	nucleus
ENSMUSG00000004100	Ppan Ssf1	nucleus
ENSMUSG00000004151	Etv1 Er81 Etsrp81	nucleus
ENSMUSG00000004207	Psap Sgp1	cytoplasm
ENSMUSG00000004221	Ikbkg Nemo	nucleus
ENSMUSG00000004263	Atn1 Drpla	nucleus
ENSMUSG00000004264	Phb2 Bap Bcap37 Rea	nucleus
ENSMUSG00000004266	Ptpn6 Hcp Hcph Ptp1C	nucleus
ENSMUSG00000004267	Eno2 Eno-2	cytoplasm
ENSMUSG00000004270	Lpcat3 Grcc3f Mboat5 Oact5	integral membrane
ENSMUSG00000004296	Il12b	cytoplasm
ENSMUSG00000004319	Clcn3 Clc3	integral membrane
ENSMUSG00000004328	Hif3a Mop7 Nepas	nucleus
ENSMUSG00000004359	Spic	nucleus
ENSMUSG00000004364	Cul3	nucleus
ENSMUSG00000004371	Il11	cytoplasm
ENSMUSG00000004383	Large1 Kiaa0609 Large	integral membrane
ENSMUSG00000004394	Tmed4 Ers25	integral membrane
ENSMUSG00000004446	Bid	cytoplasm
ENSMUSG00000004455	Ppp1cc	nucleus
ENSMUSG00000004460	Dnajb11	nucleus
ENSMUSG00000004462	Tbccd1	cytoplasm
ENSMUSG00000004473	Clec11a Scgf	cytoplasm
ENSMUSG00000004558	Ndrg2 Kiaa1248 Ndr2	nucleus
ENSMUSG00000004565	Pnpla6 Nte	integral membrane
ENSMUSG00000004567	Mcoln1 Trpml1	integral membrane
ENSMUSG00000004591	Pkn2 Prk2 Prkcl2	nucleus
ENSMUSG00000004609	Cd33 Siglec3	integral membrane
ENSMUSG00000004626	Stxbp2 Unc18b	cytoplasm
ENSMUSG00000004637	Wwox Wox1	nucleus
ENSMUSG00000004642	Slbp Hbp	nucleus
ENSMUSG00000004651	Tyr	integral membrane
ENSMUSG00000004654	Ghrhr Grfr	integral membrane
ENSMUSG00000004655	Aqp1	integral membrane
ENSMUSG00000004661	Arid3b Bdp Dril2	nucleus
ENSMUSG00000004667	Polr2e	nucleus
ENSMUSG00000004668	Abca13	integral membrane
ENSMUSG00000004707	Ly9 Ly-9	integral membrane
ENSMUSG00000004709	Cd244 2b4 Nmrk	integral membrane
ENSMUSG00000004748	Mtfp1 Mtp18	integral membrane
ENSMUSG00000004771	Rab11a Rab11	cytoplasm
ENSMUSG00000004788	Eif2b2	cytoplasm
ENSMUSG00000004789	Dlst	nucleus
ENSMUSG00000004815	Dgkq	nucleus
ENSMUSG00000004821	Tmed11	integral membrane
ENSMUSG00000004842	Pou1f1 Pit-1 Pit1	nucleus
ENSMUSG00000004843	Chmp2b	cytoplasm
ENSMUSG00000004864	Mapk13 Serk4	nucleus
ENSMUSG00000004865	Srpk1	nucleus
ENSMUSG00000004872	Pax3 Pax-3	nucleus
ENSMUSG00000004880	Lbr	integral membrane
ENSMUSG00000004885	Crabp2	nucleus
ENSMUSG00000004891	Nes	cytoplasm
ENSMUSG00000004897	Hdgf Tdrm1	nucleus
ENSMUSG00000004902	Slc25a18 Gc2	integral membrane
ENSMUSG00000004931	Apba3 Mint3	cytoplasm
ENSMUSG00000004934	Pias4 Piasg	nucleus
ENSMUSG00000004936	Map2k1 Mek1 Prkmk1	nucleus
ENSMUSG00000004937	Sgta Sgt	nucleus
ENSMUSG00000004945	Tmem242	integral membrane
ENSMUSG00000004947	Dtx2	cytoplasm
ENSMUSG00000004948	Zp3 Zp-3 Zpc	integral membrane
ENSMUSG00000004951	Hspb1 Hsp25 Hsp27	nucleus
ENSMUSG00000004980	Hnrnpa2b1 Hnrpa2b1	nucleus
ENSMUSG00000005034	Prkacb Pkacb	nucleus
ENSMUSG00000005045	Chd5 Kiaa0444	nucleus
ENSMUSG00000005054	Cstb Cst6 Stfb	nucleus
ENSMUSG00000005057	Sh2b2 Aps	cytoplasm
ENSMUSG00000005069	Pex5 Pxr1	cytoplasm
ENSMUSG00000005078	Jkamp Jamp	integral membrane
ENSMUSG00000005107	Slc2a9 Glut9	integral membrane
ENSMUSG00000005124	Ccn4 Elm1 Wisp1	cytoplasm
ENSMUSG00000005125	Ndrg1 Ndr1 Ndrl Tdd5	nucleus
ENSMUSG00000005148	Klf5 Bteb2 Iklf	nucleus
ENSMUSG00000005150	Wdr83 Morg1	nucleus
ENSMUSG00000005198	Polr2a Rpii215 Rpo2-1	nucleus
ENSMUSG00000005204	Senp3 Smt3ip Smt3ip1	nucleus
ENSMUSG00000005232	G6pc2 Igrp	integral membrane
ENSMUSG00000005233	Spc25 Spbc25	nucleus
ENSMUSG00000005251	Ripk4 Ankrd3 Pkk	cytoplasm
ENSMUSG00000005262	Ufd1 Ufd1l	nucleus
ENSMUSG00000005267	Znf287 Skat2 Zfp287	nucleus
ENSMUSG00000005268	Prlr	integral membrane
ENSMUSG00000005299	Letm1	integral membrane
ENSMUSG00000005312	Ubqln1 Plic1	cytoplasm
ENSMUSG00000005355	Casp14	nucleus
ENSMUSG00000005362	Crbn	nucleus
ENSMUSG00000005364	Il5ra Il5r	integral membrane
ENSMUSG00000005370	Msh6 Gtmbp	nucleus
ENSMUSG00000005371	Fbxo11	nucleus
ENSMUSG00000005373	Mlxipl Mio Wbscr14	nucleus
ENSMUSG00000005410	Mcm5 Cdc46 Mcmd5	nucleus
ENSMUSG00000005413	Hmox1	nucleus
ENSMUSG00000005442	Cic Kiaa0306	nucleus
ENSMUSG00000005447	Pafah1b3 Pafahg	cytoplasm
ENSMUSG00000005465	Il27ra Tccr Wsx1	cytoplasm
ENSMUSG00000005469	Prkaca Pkaca	nucleus
ENSMUSG00000005481	Ddx39a Ddx39	nucleus
ENSMUSG00000005483	Dnajb1 Hsp40 Hspf1	cytoplasm
ENSMUSG00000005493	Msh4	nucleus
ENSMUSG00000005501	Usp40	nucleus
ENSMUSG00000005503	Evx1	nucleus
